t	RBG	i1	i2	i3	i4	i5	i6	i7	i8	i9	i10	i*	TB
806	10	63634.5	19853	15139.3	10172.1	17688	9821.92	9804.53	3709.12	8119.33	3366.33	4	488
806	11	63634.5	19853	15139.3	10172.1	17688	9821.92	9804.53	3709.12	8119.33	3366.33	4	488
806	12	63634.5	19853	15139.3	10172.1	17688	9821.92	9804.53	3709.12	8119.33	3366.33	4	488
807	1	63634.5	19853	15139.3	10172.1	25300.6	9821.92	14024.2	3709.12	1255.57	3366.33	4	488
807	2	63634.5	19853	15139.3	10172.1	25300.6	9821.92	14024.2	3709.12	1255.57	3366.33	4	488
807	3	63634.5	19853	15139.3	10172.1	25300.6	9821.92	14024.2	3709.12	1255.57	3366.33	4	488
807	4	63634.5	19853	15139.3	10172.1	25300.6	9821.92	14024.2	3709.12	1255.57	3366.33	4	488
807	5	63634.5	19853	15139.3	10172.1	25300.6	9821.92	14024.2	3709.12	1255.57	3366.33	4	488
807	6	63634.5	19853	15139.3	10172.1	25300.6	9821.92	14024.2	3709.12	1255.57	3366.33	4	488
807	7	63634.5	19853	15139.3	10172.1	25300.6	9821.92	14024.2	3709.12	1255.57	3366.33	4	488
807	8	63634.5	19853	15139.3	10172.1	25300.6	9821.92	14024.2	3709.12	1255.57	3366.33	4	488
807	9	63634.5	19853	15139.3	10172.1	25300.6	9821.92	14024.2	3709.12	1255.57	3366.33	4	488
807	10	63634.5	19853	15139.3	10172.1	25300.6	9821.92	14024.2	3709.12	1255.57	3366.33	4	488
807	11	63634.5	19853	15139.3	10172.1	25300.6	9821.92	14024.2	3709.12	1255.57	3366.33	4	488
807	12	63634.5	19853	15139.3	10172.1	25300.6	9821.92	14024.2	3709.12	1255.57	3366.33	4	488
808	1	9388.69	40242.5	15139.3	10172.1	25300.6	9821.92	14024.2	3709.12	1255.57	6947.53	7	600
808	2	9388.69	40242.5	15139.3	10172.1	25300.6	9821.92	14024.2	3709.12	1255.57	6947.53	7	600
808	3	9388.69	40242.5	15139.3	10172.1	25300.6	9821.92	14024.2	3709.12	1255.57	6947.53	7	600
808	4	9388.69	40242.5	15139.3	10172.1	25300.6	9821.92	14024.2	3709.12	1255.57	6947.53	7	600
808	5	9388.69	40242.5	15139.3	10172.1	25300.6	9821.92	14024.2	3709.12	1255.57	6947.53	7	600
808	6	9388.69	40242.5	15139.3	10172.1	25300.6	9821.92	14024.2	3709.12	1255.57	6947.53	7	600
808	7	9388.69	40242.5	15139.3	10172.1	25300.6	9821.92	14024.2	3709.12	1255.57	6947.53	7	600
808	8	9388.69	40242.5	15139.3	10172.1	25300.6	9821.92	14024.2	3709.12	1255.57	6947.53	7	600
808	9	9388.69	40242.5	15139.3	10172.1	25300.6	9821.92	14024.2	3709.12	1255.57	6947.53	7	600
808	10	9388.69	40242.5	15139.3	10172.1	25300.6	9821.92	14024.2	3709.12	1255.57	6947.53	7	600
808	11	9388.69	40242.5	15139.3	10172.1	25300.6	9821.92	14024.2	3709.12	1255.57	6947.53	7	600
808	12	9388.69	40242.5	15139.3	10172.1	25300.6	9821.92	14024.2	3709.12	1255.57	6947.53	7	600
809	1	9388.69	40242.5	15139.3	3246.4	17688	9821.92	14024.2	3709.12	9458.6	6947.53	7	600
809	2	9388.69	40242.5	15139.3	3246.4	17688	9821.92	14024.2	3709.12	9458.6	6947.53	7	600
809	3	9388.69	40242.5	15139.3	3246.4	17688	9821.92	14024.2	3709.12	9458.6	6947.53	7	600
809	4	9388.69	40242.5	15139.3	3246.4	17688	9821.92	14024.2	3709.12	9458.6	6947.53	7	600
809	5	9388.69	40242.5	15139.3	3246.4	17688	9821.92	14024.2	3709.12	9458.6	6947.53	7	600
809	6	9388.69	40242.5	15139.3	3246.4	17688	9821.92	14024.2	3709.12	9458.6	6947.53	7	600
809	7	9388.69	40242.5	15139.3	3246.4	17688	9821.92	14024.2	3709.12	9458.6	6947.53	7	600
809	8	9388.69	40242.5	15139.3	3246.4	17688	9821.92	14024.2	3709.12	9458.6	6947.53	7	600
809	9	9388.69	40242.5	15139.3	3246.4	17688	9821.92	14024.2	3709.12	9458.6	6947.53	7	600
809	10	9388.69	40242.5	15139.3	3246.4	17688	9821.92	14024.2	3709.12	9458.6	6947.53	7	600
809	11	9388.69	40242.5	15139.3	3246.4	17688	9821.92	14024.2	3709.12	9458.6	6947.53	7	600
809	12	9388.69	40242.5	15139.3	3246.4	17688	9821.92	14024.2	3709.12	9458.6	6947.53	7	600
810	1	33382	42388.8	31245	3246.4	17688	1449.14	14024.2	3207.89	9458.6	5371.8	7	632
810	2	33382	42388.8	31245	3246.4	17688	1449.14	14024.2	3207.89	9458.6	5371.8	7	632
810	3	33382	42388.8	31245	3246.4	17688	1449.14	14024.2	3207.89	9458.6	5371.8	7	632
810	4	33382	42388.8	31245	3246.4	17688	1449.14	14024.2	3207.89	9458.6	5371.8	7	632
810	5	33382	42388.8	31245	3246.4	17688	1449.14	14024.2	3207.89	9458.6	5371.8	7	632
810	6	33382	42388.8	31245	3246.4	17688	1449.14	14024.2	3207.89	9458.6	5371.8	7	632
810	7	33382	42388.8	31245	3246.4	17688	1449.14	14024.2	3207.89	9458.6	5371.8	7	632
810	8	33382	42388.8	31245	3246.4	17688	1449.14	14024.2	3207.89	9458.6	5371.8	7	632
810	9	33382	42388.8	31245	3246.4	17688	1449.14	14024.2	3207.89	9458.6	5371.8	7	632
810	10	33382	42388.8	31245	3246.4	17688	1449.14	14024.2	3207.89	9458.6	5371.8	7	632
810	11	33382	42388.8	31245	3246.4	17688	1449.14	14024.2	3207.89	9458.6	5371.8	7	632
